name,email,phone,address,role,username,password
Ronaldo,Ronaldo@gmail.com,0987654321,ha noi,1,Ronaldo,123123
Messi,Messi@gmail.com,0123456789,ha noi,1,Messi,123123
Rooney,Rooney@gmail.com,0654321987,ha noi,1,Rooney,123123
Vidic,Vidic@gmail.com,0986547123,ha noi,1,Vidic,123123
Gullit,Gullit@gmail.com,0987654123,ha noi,1,Gullit,123123
Persie,Persie@gmail.com,0687542231,ha noi,1,Persie,123123
Muller,Muller@gmail.com,0999666555,ha noi,1,Muller,123123
Neymar,Neymar@gmail.com,0265321987,ha noi,1,Neymar,123123
Vinicius,Vinicius@gmail.com,0888456789,ha noi,1,Vinicius,123123
Rashford,Rashford@gmail.com,0888745123,ha noi,1,Rashford,123123
